ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Comments
581885,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
581887,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
581899,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581900,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581901,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581902,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581903,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581904,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581905,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581906,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581907,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581908,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581909,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
581910,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",
582082,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582084,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582085,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582087,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582088,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582089,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582090,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582091,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582092,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582093,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582094,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582095,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582096,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582097,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582098,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582099,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582100,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582101,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582102,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
582107,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582108,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582109,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582110,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582112,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582113,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582114,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582115,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582116,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582117,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582118,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582119,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582120,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582121,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582122,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582123,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582124,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582125,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582126,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582127,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
594592,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
595047,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
598311,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
598365,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
598390,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
