"Task ID","Task Name","WBS Outline","At Completion Duration (Workhours)","Predecessors","Start Date","End Date","Labor Hours Budgeted","Crew: Commissioning / Controls Support","Crew: Concrete Crew","Crew: Demolition Crew (bleachers)","Crew: Earthwork Crew (excavation)","Crew: Electrical Rough-In Crew","Crew: Exc","Crew: Facade Install Crew","Crew: HVAC Rough-In Crew","Crew: Interiors Crew","Crew: Plumbing + Fire Protection Rough-In Crew","Crew: Shoring / Stabilization Crew","Crew: Site Setup Crew","Crew: Structural Crew","Crew: TAB Team","Crew: Tree Removal / Clearing Crew","Crew: Underground Utilities Crew","Workforce","Subcontractor","Trade","Driving Task(s)","Driving Constraint Type(s)","Duration (Calendar Hours)","Start Time","End Time","Latest Start","Latest End","Critical","Free Slack (hrs)","Total Slack (hrs)","Equipment: Compactor/Roller","Equipment: Concrete Pump","Equipment: Excavator","Equipment: Mobile Crane","Cost: Total Direct","Cost: Hourly Crew","Cost: Hourly Equipment","Cost: Labor","Cost: Equipment","Cost: Material"
"A1070","Install Construction Fencing","1.1.1",24.0,,"2029-10-01","2029-10-03",96.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,56.0,"09:00","17:00","2030-05-28 09:00","2030-05-31 09:00","false",0,1368,,,,,5760.0,240.0,0.0,5760.0,0.0,0.0
"A1090","Temporary Water Installation","1.1.2",24.0,"A1070","2029-10-04","2029-10-08",96.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,104.0,"09:00","17:00","2030-06-11 09:00","2030-06-13 17:00","false",1424,1424,,,,,5760.0,240.0,0.0,5760.0,0.0,0.0
"A1080","Install Site Office & Welfare Units","1.1.3",32.0,"A1070","2029-10-04","2029-10-09",128.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,128.0,"09:00","17:00","2030-06-10 09:00","2030-06-13 17:00","false",1416,1416,,,,,7680.0,240.0,0.0,7680.0,0.0,0.0
"A1100","Temporary Power Installation","1.1.4",32.0,"A1070","2029-10-04","2029-10-09",128.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,128.0,"09:00","17:00","2030-06-10 09:00","2030-06-13 17:00","false",1416,1416,,,,,7680.0,240.0,0.0,7680.0,0.0,0.0
"A1110","Tree Removal & Clearing","1.1.5",40.0,"A1070","2029-10-04","2029-10-10",120.0,,,,,,,,,,,,,,,1.0,,3.0,,,,,152.0,"09:00","17:00","2030-05-31 09:00","2030-06-07 09:00","false",0,1368,,,,,9600.0,240.0,0.0,9600.0,0.0,0.0
"A1120","Bleacher Demolition","1.1.6",56.0,"A1070","2029-10-04","2029-10-12",224.0,,,1.0,,,,,,,,,,,,,,4.0,,,,,200.0,"09:00","17:00","2030-06-05 09:00","2030-06-13 17:00","false",1392,1392,,,,,17920.0,320.0,0.0,17920.0,0.0,0.0
"A1150","Laydown Area Preparation","1.1.7",0.0,"A1110","2029-10-11","2029-10-11",0.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,0.0,"09:00","09:00","2030-06-13 16:59","2030-06-13 16:59","false",1408,1407,,,,,0.0,240.0,0.0,0.0,0.0,0.0
"A1140","Crane Pad Construction","1.1.8",40.0,"A1110","2029-10-11","2029-10-17",160.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,152.0,"09:00","17:00","2030-06-07 09:00","2030-06-13 17:00","false",1368,1368,,,,,9600.0,240.0,0.0,9600.0,0.0,0.0
"A1170","Full Basement Excavation","1.2.1",56.0,,"2029-10-01","2029-10-09",168.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,200.0,"09:00","17:00","2029-10-01 09:00","2029-10-10 09:00","true",0,0,,,1.0,,20160.0,360.0,0.0,20160.0,0.0,0.0
"A1190","Subgrade Preparation","1.2.2",32.0,"A1170","2029-10-10","2029-10-15",96.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,128.0,"09:00","17:00","2029-10-10 09:00","2029-10-16 09:00","true",0,0,1.0,,,,11520.0,360.0,0.0,11520.0,0.0,0.0
"A1180","Shoring / Stabilization","1.2.3",40.0,"A1170","2029-10-10","2029-10-16",160.0,,,,,,,,,,,1.0,,,,,,4.0,,,,,152.0,"09:00","17:00","2030-06-07 09:00","2030-06-13 17:00","false",1376,1376,,,,,14400.0,360.0,0.0,14400.0,0.0,0.0
"A1200","Footings – Form/Rebar/Pour","1.2.4",80.0,"A1190","2029-10-16","2029-10-29",640.0,,1.0,,,,,,,,,,,,,,,8.0,,,,,320.0,"09:00","17:00","2029-10-16 09:00","2029-10-30 09:00","true",0,0,,1.0,,,41600.0,520.0,0.0,41600.0,0.0,0.0
"A1210","Grade Beams","1.2.5",56.0,"A1200","2029-10-30","2029-11-07",448.0,,1.0,,,,,,,,,,,,,,,8.0,,,,,200.0,"09:00","17:00","2029-10-30 09:00","2029-11-08 09:00","true",0,0,,,,,29120.0,520.0,0.0,29120.0,0.0,0.0
"A1220","Basement Retaining Walls","1.2.6",24.0,"A1210","2029-11-08","2029-11-12",192.0,,1.0,,,,,,,,,,,,,,,8.0,,,,,104.0,"09:00","17:00","2029-11-08 09:00","2029-11-13 09:00","true",0,0,,1.0,,,12480.0,520.0,0.0,12480.0,0.0,0.0
"A1230","Waterproofing & Drainage","1.2.7",40.0,"A1220","2029-11-13","2029-11-19",120.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,152.0,"09:00","17:00","2029-11-13 09:00","2029-11-20 09:00","true",0,0,,,,,14400.0,360.0,0.0,14400.0,0.0,0.0
"A1240","Basement Slab on Grade","1.2.8",56.0,"A1230","2029-11-20","2029-11-28",448.0,,1.0,,,,,,,,,,,,,,,8.0,,,,,200.0,"09:00","17:00","2029-11-20 09:00","2029-11-29 09:00","true",0,0,,,,,29120.0,520.0,0.0,29120.0,0.0,0.0
"A1250","Underground Utilities","1.2.9",56.0,"A1230","2029-11-20","2029-11-28",224.0,,,,,,,,,,,,,,,,1.0,4.0,,,,,200.0,"09:00","17:00","2029-11-20 09:00","2029-11-29 09:00","true",0,0,,,,,17920.0,320.0,0.0,17920.0,0.0,0.0
"A1260","Backfill & Compaction","1.2.10",40.0,"A1250, A1240","2029-11-29","2029-12-05",240.0,,,,1.0,,1.0,,,,,,,,,,,6.0,,,,,152.0,"09:00","17:00","2029-11-29 09:00","2029-12-06 09:00","true",0,0,1.0,,,,26400.0,660.0,0.0,26400.0,0.0,0.0
"A1330","Frame: Columns + Beams","1.3.1",96.0,"A1260","2029-12-06","2029-12-21",576.0,,,,,,,,,,,,,1.0,,,,6.0,,,,,368.0,"09:00","17:00","2029-12-06 09:00","2029-12-24 09:00","true",0,0,,,,1.0,40320.0,420.0,0.0,40320.0,0.0,0.0
"A1340","Floor","1.3.2",24.0,"A1330","2029-12-24","2029-12-26",144.0,,,,,,,,,,,,,1.0,,,,6.0,,,,,56.0,"09:00","17:00","2029-12-24 09:00","2029-12-27 09:00","true",0,0,,,,1.0,10080.0,420.0,0.0,10080.0,0.0,0.0
"A1420","Roof","1.3.3",32.0,"A1340, A1330","2029-12-27","2030-01-01",192.0,,,,,,,,,,,,,1.0,,,,6.0,,,,,128.0,"09:00","17:00","2029-12-27 09:00","2030-01-02 09:00","true",0,0,,,,1.0,13440.0,420.0,0.0,13440.0,0.0,0.0
"A1590","Facade Install + Glazing ","1.4.1",256.0,"A1420","2030-01-02","2030-02-14",1536.0,,,,,,,1.0,,,,,,,,,,6.0,,,,,1040.0,"09:00","17:00","2030-01-02 09:00","2030-02-15 09:00","true",0,0,,,,1.0,115200.0,450.0,0.0,115200.0,0.0,0.0
"A1680","Main Electrical & Riser Install","1.5.1",112.0,"A1590","2030-02-15","2030-03-06",672.0,,,,,1.0,,,,,,,,,,,,6.0,,,,,464.0,"09:00","17:00","2030-03-20 09:00","2030-04-09 09:00","false",0,184,,,,,53760.0,480.0,0.0,53760.0,0.0,0.0
"A1670","Mechanical Room Buildout","1.5.2",112.0,"A1590","2030-02-15","2030-03-06",672.0,,,,,,,,1.0,,,,,,,,,6.0,,,,,464.0,"09:00","17:00","2030-05-27 09:00","2030-06-13 17:00","false",568,568,,,,,50400.0,450.0,0.0,50400.0,0.0,0.0
"A1690","MEP Rough-In","1.5.3",384.0,"A1680, A1590","2030-03-07","2030-05-13",6912.0,,,,,1.0,,,1.0,,1.0,,,,,,,18.0,,,,,1616.0,"09:00","17:00","2030-04-09 09:00","2030-06-13 17:00","false",184,184,,,,,529920.0,1380.0,0.0,529920.0,0.0,0.0
"A1740","Interior Framing ","1.6.1",96.0,"A1590","2030-02-15","2030-03-04",384.0,,,,,,,,,1.0,,,,,,,,4.0,,,,,416.0,"09:00","17:00","2030-02-15 09:00","2030-03-05 09:00","true",0,0,,,,,24960.0,260.0,0.0,24960.0,0.0,0.0
"A1750","Drywall & Finishes ","1.6.2",192.0,"A1740","2030-03-05","2030-04-05",768.0,,,,,,,,,1.0,,,,,,,,4.0,,,,,752.0,"09:00","17:00","2030-03-05 09:00","2030-04-08 09:00","true",0,0,,,,,49920.0,260.0,0.0,49920.0,0.0,0.0
"A1760","Ceiling Installation ","1.6.3",128.0,"A1750","2030-04-08","2030-04-29",512.0,,,,,,,,,1.0,,,,,,,,4.0,,,,,512.0,"09:00","17:00","2030-04-08 09:00","2030-04-30 09:00","true",0,0,,,,,33280.0,260.0,0.0,33280.0,0.0,0.0
"A1860","Final Inspections","1.7.1",40.0,"A1760","2030-04-30","2030-05-06",120.0,1.0,,,,,,,,,,,,,,,,3.0,,,,,152.0,"09:00","17:00","2030-06-07 09:00","2030-06-13 17:00","false",224,224,,,,,12000.0,300.0,0.0,12000.0,0.0,0.0
"A1820","MEP Start-Up","1.7.2",56.0,"A1760","2030-04-30","2030-05-08",1176.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,21.0,,,,,200.0,"09:00","17:00","2030-04-30 09:00","2030-05-09 09:00","true",0,0,,,,,94080.0,1680.0,0.0,94080.0,0.0,0.0
"A1830","TAB","1.7.3",56.0,"A1820","2030-05-09","2030-05-17",168.0,,,,,,,,,,,,,,1.0,,,3.0,,,,,200.0,"09:00","17:00","2030-05-09 09:00","2030-05-20 09:00","true",0,0,,,,,16800.0,300.0,0.0,16800.0,0.0,0.0
"A1840","Integrated Systems Testing","1.7.4",40.0,"A1830","2030-05-20","2030-05-24",840.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,21.0,,,,,104.0,"09:00","17:00","2030-05-20 09:00","2030-05-27 09:00","true",0,0,,,,,67200.0,1680.0,0.0,67200.0,0.0,0.0
"A1880","Hurricane Contingency Buffer","1.7.5",112.0,"A1840","2030-05-27","2030-06-13",0.0,,,,,,,,,,,,,,,,,0.0,,,,,416.0,"09:00","17:00","2030-05-27 09:00","2030-06-13 17:00","true",0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
